"","ID","Dyad","obs","time","mod","Trial","ID_p","Dyad_p","obs_p","time_p","mod_p","Trial_p"
"1",1,1,632.6667,1,3,3,501,1,772,1,3,3
"2",1,1,638,2,3,3,501,1,709,2,3,3
"3",1,1,672,3,3,3,501,1,686,3,3,3
"4",1,1,654,4,3,3,501,1,740,4,3,3
"5",1,1,620,5,3,3,501,1,884,5,3,3
"6",1,1,581,6,3,3,501,1,878,6,3,3
"7",1,1,743,7,3,3,501,1,758,7,3,3
"8",1,1,755,8,3,3,501,1,912,8,3,3
"9",1,1,720,9,3,3,501,1,960,9,3,3
"10",1,1,643,10,3,3,501,1,1132,10,3,3
"11",1,1,594,11,3,3,501,1,945,11,3,3
"12",1,1,615,12,3,3,501,1,836,12,3,3
"13",1,1,687,13,3,3,501,1,810,13,3,3
"14",1,1,676,14,3,3,501,1,852,14,3,3
"15",1,1,656,15,3,3,501,1,1042,15,3,3
"16",1,1,727,16,3,3,501,1,1048,16,3,3
"17",1,1,690,17,3,3,501,1,968,17,3,3
"18",1,1,671,18,3,3,501,1,902,18,3,3
"19",1,1,660,19,3,3,501,1,NA,19,3,3
"20",1,1,627,20,3,3,501,1,954,20,3,3
"21",1,1,623,21,3,3,501,1,894,21,3,3
"22",1,1,608,22,3,3,501,1,870,22,3,3
"23",1,1,815,23,3,3,501,1,1054,23,3,3
"24",1,1,762,24,3,3,501,1,1134,24,3,3
"25",1,1,659,25,3,3,501,1,1070,25,3,3
"26",1,1,656,26,3,3,501,1,882,26,3,3
"27",1,1,687,27,3,3,501,1,826,27,3,3
"28",1,1,690,28,3,3,501,1,835,28,3,3
"29",1,1,681,29,3,3,501,1,NA,29,3,3
"30",1,1,639,30,3,3,501,1,996,30,3,3
"31",1,1,727,31,3,3,501,1,880,31,3,3
"32",1,1,708,32,3,3,501,1,828,32,3,3
"33",1,1,642,33,3,3,501,1,NA,33,3,3
"34",1,1,619,34,3,3,501,1,858,34,3,3
"35",1,1,581.3333,35,3,3,501,1,846,35,3,3
"36",1,1,606,36,3,3,501,1,1000,36,3,3
"37",1,1,619,37,3,3,501,1,882,37,3,3
"38",1,1,598,38,3,3,501,1,996,38,3,3
"39",1,1,583.3333,39,3,3,501,1,888,39,3,3
"40",1,1,661,40,3,3,501,1,814,40,3,3
"41",1,1,621,41,3,3,501,1,1020,41,3,3
"42",1,1,625,42,3,3,501,1,NA,42,3,3
"43",1,1,666,43,3,3,501,1,907,43,3,3
